verb,freq_g,freq_t,rank_g,rank_t,sent_g,sent_t
place,4.0,4.0,14,3,"placing her hand on my shoulder
My love has placed her little hand With noble faith in mine
Moore placed his hand on his cousin's shoulder
one hand placed in the other","Placing a hand against the breastbone

Placing a hand on the chest

Placing hands on the hips

Placing hands in one's pockets
"
give,4.0,1.0,14,5,"she gave her hand into his hand
There were times when I would have given my right hand to possess the treasures he ascribed to me
You might give a hand to that""
the old secret dream to which his clumsy hands had given form and substance","Throwing hands up in an I give up gesture
"
press,3.0,6.0,15,2,"and pressed both hands there tightly to keep this protection in its place so that no steam could get to his nose or mouth
pressing my hand warmly
pressing my hand in a cold","Pressing a hand against one's chest, fingers splayed out

Pressing hands to one's temples

Pressing a hand to the abdomen

Pressing hands against the stomach

Pressing one's hands to the stomach

Pressing hands against one's cheeks
"
wring,3.0,2.0,15,4,"her habit was to wring her hands very nervously
they both stood wringing their hands begging you to be patient
wringing my hands wildly","Rubbing the wrists or wringing the hands

Wringing one's hands
"
keep,3.0,1.0,15,5,"Keep your hand on the reins
keeping my hand on the door-handle before I opened it
Keep your hand off me","Keeping one's hands out of the pockets
"
wave,3.0,1.0,15,5,"He waved his hands frantically to her
then waved his nerveless hand with a vanquished gesture and said
a hand waved a handkerchief","Waving a hand in dismissal
"
lick,2.0,1.0,16,5,"the dog that licks my hand and sits beside my knee""
canine warrior acknowledged by licking her hand or her sandal alternately with his own red wounds","Flicking a hand in front of one's nose as if to get rid of a bad smell
"
clasp,2.0,7.0,16,1,"and once again the tiny hands were clasped upon her knee
be reconciled and clasp hands in amity","Clasping one's hands to the chest

Clasping hands to the chest

Clasping hands under the chin

Clasping the hands together in the lap

Clasping the hands together

Hands clasped loosely behind the back and gaze down

Clasping one's hands together
"
bring,1.0,1.0,17,5,bringing his hand slowly down to within an inch or two of the table,"Bringing a shaky hand to the forehead
"
clench,1.0,1.0,17,5,and he clenched his bony hands with a vindictive energy,"Hands that briefly clench
"
squeeze,1.0,1.0,17,5,next he would squeeze his hand on his forehead and stagger back and kind of moan,"Squeezing the hands at one's sides
"
rub,1.0,7.0,17,1,In the midst of the prayer a fly had lit on the back of the pew in front of him and tortured his spirit by calmly rubbing its hands together,"Rubbing a hand through the hair

Rubbing a hand against the front of one's shirt

Rubbing the hands together

Rubbing the hands over one's clothing

Rubbing hands down one's pant legs

Rubbing a hand against the heart

Rubbing one's hands on pant legs
"
rub,1.0,1.0,17,5,In the midst of the prayer a fly had lit on the back of the pew in front of him and tortured his spirit by calmly rubbing its hands together,"Scrubbing a hand over the face
"
make,1.0,1.0,17,5,both chambers and saloons looked as fresh and bright as hands could make them,"Holding one's elbow while the opposite hand makes a fist against the mouth
"
