nonoverlapping dependency,frequency,norm,rank,samples
( VB mark TO ) ( VB dobj NN ) ( NN nmod:poss NN ) ( NN case POS ),1.0,0.00884955752212,7,"Looking down, unable to meet someone's eyes
"
( VBZ dep VB ) ( VB nmod NN ) ( NN case IN ),1.0,0.00884955752212,7,"Eyes that fill with tears
"
( NN amod JJ ) ( NN cc CC ) ( NN conj NN ),1.0,0.00884955752212,7,"Puffy face or eyes
"
( NNP compound NNP ) ( NNP appos NN ),1.0,0.00884955752212,7,"Eyes squinting, tightening
"
( NN dep NN ) ( NN compound NN ),1.0,0.00884955752212,7,"Eyes that blink infrequently
"
( VBG dobj NN ) ( VBG advmod RB ),1.0,0.00884955752212,7,"Pinching the bridge of the nose and squeezing the eyes tight
"
( NN dep RB ) ( NN compound NN ),1.0,0.00884955752212,7,"Steady eye contact
"
( VB nsubj NN ) ( NN acl VBG ) ( VB nmod NN ) ( NN case IN ) ( NN amod NN ) ( NN cc CC ) ( NN conj JJ ) ( NN nmod NN ) ( NN case IN ),1.0,0.00884955752212,7,"Eyes squinting, lit with an inner glow or twinkle of mischief
"
( NN dep NN ) ( NN conj NN ) ( NN cc CC ) ( NN conj NN ),1.0,0.00884955752212,7,"Eyes that dance, sparkle, or shine
"
( NN nmod NN ) ( NN case IN ) ( NN cc CC ) ( NN conj NN ),1.0,0.00884955752212,7,"Tightness in the eyes or expression
"
( VB dobj NN ) ( NN nmod:poss CD ) ( CD case POS ) ( NN acl VB ) ( VB mark TO ) ( VB advmod RB ) ( RB advmod RBR ) ( VB dobj NN ),1.0,0.00884955752212,7,"Closing one's eyes to more clearly recall the memories
"
( VB nsubj NN ) ( NN nmod:poss NN ) ( NN amod JJ ) ( NN case POS ),1.0,0.00884955752212,7,"Squeezing one's eyes shut
"
( VB nsubj NN ) ( NN acl VBG ) ( VBG compound:prt RP ) ( VBG advcl VBG ),1.0,0.00884955752212,7,"Eyes going up, looking heavenward
"
( NN amod JJ ) ( NN nmod NN ) ( NN case IN ),1.0,0.00884955752212,7,"Dark circles under the eyes
"
( NN acl:relcl JJ ) ( JJ cop VBN ) ( JJ advmod RB ) ( JJ xcomp JJ ),1.0,0.00884955752212,7,"Eyes that are cold, hard, flinty
"
( VBN xcomp VBG ) ( VBG dobj JJ ) ( VBN cc CC ) ( VBN conj JJ ) ( JJ advmod RB ),1.0,0.00884955752212,7,"Eyes appearing damp and overly bright
"
( VB nsubj NN ) ( VB dep IN ) ( IN advmod RB ) ( IN nmod NN ) ( NN case IN ),1.0,0.00884955752212,7,"Eyes narrowed, as if in confusion
"
( NN amod JJ ) ( NN compound NN ) ( NN appos NN ) ( NN advmod RB ) ( NN amod JJ ),1.0,0.00884955752212,7,"Strong eye contact, very little blinking
"
( VBZ nsubj NN ) ( NN appos NN ) ( NN acl VBG ) ( VBG compound:prt RP ) ( VBG nmod NN ) ( NN case IN ),1.0,0.00884955752212,7,"Eyes narrowing, eyebrows pulling down in concentration
"
( VBG dobj NN ) ( VBG advmod RB ) ( VBG nmod NN ) ( NN case IN ),1.0,0.00884955752212,7,"Looking others directly in the eye
"
( VBN nsubj NN ) ( VBN xcomp JJ ),1.0,0.00884955752212,7,"Eyes appear red
"
( NN amod JJ ) ( NN compound NN ) ( NN appos NN ) ( NN amod JJ ),1.0,0.00884955752212,7,"Steady eye contact, large pupils
"
( NN amod JJ ) ( JJ dep JJ ) ( NN nmod NN ) ( NN case IN ) ( NN amod JJ ) ( JJ advmod RB ),1.0,0.00884955752212,7,"Eyes wide, rounded, with very few blinks
"
( VB nsubj NN ) ( NN amod VBG ),1.0,0.00884955752212,7,"Squeezing eyes shut
"
( VB advcl VBG ) ( VBG cc RB ) ( RB cc CC ) ( VBG conj VBG ) ( VB nsubj NN ) ( VB cc CC ) ( VB conj VBZ ),1.0,0.00884955752212,7,"Staring but not seeing, eyes shut or crying
"
( VBG neg RB ) ( VBG dobj NN ) ( NN nmod:poss NN ) ( NN case POS ),1.0,0.00884955752212,7,"Not meeting the requester's eyes
"
( VB advcl VBG ) ( VBG dobj NN ) ( VB nsubj NN ),1.0,0.00884955752212,7,"Dropping the head, eyes closed
"
( NN amod JJ ) ( JJ amod JJ ),1.0,0.00884955752212,7,"Eyes dull, lifeless
"
( VBG dobj NN ) ( VBG cc CC ) ( VBG conj VBG ) ( VBG dobj NN ) ( NN amod JJ ),1.0,0.00884955752212,7,"Closing the eyes and taking a calming breath
"
( NN compound NN ) ( NN appos NN ) ( NN advmod RB ),1.0,0.00884955752212,7,"Eyes widening, yet brows are furrowed
"
( VB dobj NN ) ( VB xcomp VB ) ( VB mark TO ) ( VB dobj NN ),1.0,0.00884955752212,7,"Closing the eyes to savor the experience
"
( NN dep NN ),1.0,0.00884955752212,7,"Eyes that water
"
( VBN nsubjpass NN ) ( NN acl VBG ) ( VBG nmod NN ) ( NN case IN ) ( VBN auxpass VBN ),1.0,0.00884955752212,7,"Eyes brightening as memories are recalled
"
( NNP appos NN ) ( NN amod JJ ),1.0,0.00884955752212,7,"Feverish, over-bright eyes
"
( NN amod JJ ) ( NN nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),1.0,0.00884955752212,7,"Dark circles under one's eyes
"
( VB xcomp NN ),1.0,0.00884955752212,7,"Eyes that glow
"
( NN amod JJ ) ( NN appos NN ) ( NN amod JJ ),1.0,0.00884955752212,7,"A flat look, narrowed eyes
"
( JJ advmod RB ) ( JJ cc CC ) ( JJ conj VBG ),1.0,0.00884955752212,7,"Eyes wide and glowing
"
( VBZ nsubj NN ) ( NN acl:relcl JJ ) ( JJ cop VBN ),1.0,0.00884955752212,7,"Eyes that are bright, glossy
"
( NN case IN ) ( NN compound NN ),1.0,0.00884955752212,7,"A lack of eye contact
"
( VB nsubj NN ),1.0,0.00884955752212,7,"Squeezing the eyes shut
"
( VB nsubj NN ) ( NN acl VBG ) ( VB nmod NN ) ( NN case IN ) ( NN nmod NN ) ( NN case IN ),1.0,0.00884955752212,7,"Eyes shining, locked on the source of relief
"
( VB dobj NN ) ( NN nmod:poss CD ) ( CD case POS ) ( NN acl VB ) ( VB mark TO ) ( VB dobj NN ) ( VB compound:prt RP ),1.0,0.00884955752212,7,"Closing one's eyes to shut everything out
"
( VB advcl VBG ) ( VBG nmod NN ) ( NN case IN ) ( NN nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ) ( VB nsubj NN ),1.0,0.00884955752212,7,"Rubbing at the middle of one's forehead, eyes closed
"
( NN acl:relcl VBN ) ( VBN xcomp JJ ),1.0,0.00884955752212,7,"Eyes that appear wet
"
( NN acl:relcl VBN ) ( VBN dobj JJ ) ( JJ amod JJ ) ( JJ amod JJ ),1.0,0.00884955752212,7,"Eyes that appear cold, dead, flat
"
( NNP compound NNP ) ( NNP appos NNP ),1.0,0.00884955752212,7,"Nodding, eyes glowing
"
( NN dep VBG ) ( VBG conj VBG ) ( VBG compound:prt RP ) ( VBG cc CC ) ( VBG conj VBG ),1.0,0.00884955752212,7,"Eyes shining, glossing over, and softening
"
( VBZ mark IN ) ( VBZ dobj NN ),1.0,0.00884955752212,7,"A sleek walk that draws the eye
"
