dependency,frequency1,frequency2,norm1,norm2,rank1,rank2,samples1,samples2
( NN compound NNP ),7.0,1.0,0.00642201834862,0.00114942528736,14,21,"Body tremors

Cold eyes

Eye contact dropping

Wet eyes

Chin tremors

Open palms

Open palms
","Cut corners
"
( NN nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),6.0,1.0,0.00550458715596,0.00114942528736,15,21,"Rubbing the back of one's neck

A gleam in one's eye

Feeling a pulse in one's throat

Making a noise in one's throat

Tenseness in one's stomach

A tingling in one's chest
","Quake in one's boots
"
( NN dep NN ) ( NN nmod NN ) ( NN case IN ),5.0,1.0,0.0045871559633,0.00114942528736,16,21,"Arms hanging at the sides

The body freezing in place

Eyes prickling with tears

Shoulders that curl over the chest

Shoulders curling over chest
","Strike a chord with someone
"
( NNP dep NN ) ( NN nmod NN ) ( NN case IN ),5.0,3.0,0.0045871559633,0.00344827586207,16,19,"Covering the mouth with a hand

Covering the face with hands

Covering the face with the hands

Covering the hands with the face

Holding the head in the hands
","Blow the whistle on something

Burn the candle at both ends

Pat someone on the back
"
( VB dobj NN ) ( VB advmod RB ),3.0,3.0,0.00275229357798,0.00344827586207,18,19,"Lips parting slightly

Eyebrows that squish together

Baring the teeth slightly
","Get something straight

Knock heads together

Meet someone halfway
"
( VB dobj NN ) ( NN nmod:poss CD ) ( CD case POS ),3.0,16.0,0.00275229357798,0.0183908045977,18,7,"Raising one's eyebrows

Raising one's palms

Raising one's palms
","Count one's blessings

Do one's homework

Hedge one's bets

Leave one's mark

Lick one's chops

Lick one's wounds

Lose one's marbles

Make one's bed

Meet one's match

Pay one's dues

Rack one's brain

Recharge one's batteries

Rest one's case

Spill one's guts

Spread one's wings

Stand one's ground
"
( NNP dep NN ),3.0,4.0,0.00275229357798,0.00459770114943,18,18,"Rolling the neck

Rolling the eyes

Clearing the throat
","Cross the line

Miss the boat

Miss the bus

Miss the point
"
( NN dep NN ) ( NN cc CC ) ( NN conj NN ),3.0,1.0,0.00275229357798,0.00114942528736,18,21,"Hands that clench and unclench

Closing the eyes and sighing

Eyes that sparkle and gleam
","Cost an arm and a leg
"
( NN nmod:poss NNP ) ( NNP nummod CD ) ( NNP case POS ),3.0,14.0,0.00275229357798,0.016091954023,18,9,"Rolling one's shoulders

Holding one's stomach

Baring one's teeth
","Bare one's soul

Bite one's tongue

Broaden one's horizons

Catch one's breath

Cross one's fingers

Drown one's sorrows

Flex one's muscles

Know one's place

Lose one's cool

Lost one's edge

Swallow one's pride

Waste one's breath

Watch one's mouth

Zip one's lip
"
( VB xcomp JJ ),2.0,2.0,0.00183486238532,0.00229885057471,19,20,"Lip biting

Stomach hardening
","Come clean

Go pear-shaped
"
( VB mark TO ) ( VB dobj NN ),2.0,2.0,0.00183486238532,0.00229885057471,19,20,"Using the hair to hide the face

Lifting one's chin to expose the neck
","To go ape

To mean business
"
( NN compound NN ) ( NN nmod NN ) ( NN case IN ),2.0,3.0,0.00183486238532,0.00344827586207,19,19,"Hugging one's shoulders, chin resting on the chest

Hugging one's shoulders, chin resting on the chest
","Fall head over heels

Rake someone over the coals

Score points with someone
"
( NNP cc CC ) ( NNP conj NN ) ( NN amod JJ ),2.0,1.0,0.00183486238532,0.00114942528736,19,21,"Wet or red eyes

Hot or gummy eyelids
","Wine and dine someone
"
( VBG mark IN ) ( VBG dobj NN ),2.0,1.0,0.00183486238532,0.00114942528736,19,21,"Touching a temple while closing the eyes

Cocking the head while raising the eyebrows
","Without missing a beat
"
( VB dobj NN ) ( NN amod JJ ),1.0,29.0,0.000917431192661,0.0333333333333,20,4,"Muscles losing tension
","Be/get a rude awakening

Come full circle

Do a double take

Drive a hard bargain

Extend the olive branch

Fight a losing battle

Get the upper hand

Give a back-handed compliment

Go cold turkey

Go the extra mile

Have a clean break

Have a hidden agenda

Have a knee-jerk reaction

Have a one-track mind

Have a silver lining

Have a sneaking suspicion

Have a sweet tooth

Have a thick skin

Have the last laugh

Hit the hard stuff

Keep a low profile

Keep a straight face

Keep an open mind

Live a charmed life

Make the first move

Need fresh blood

Reach the boiling point

Share common ground

Win brownie points
"
( VB dobj NN ) ( VB nmod NN ) ( NN case IN ),1.0,42.0,0.000917431192661,0.048275862069,20,2,"Visible tension in the muscles
","Blow the lid off something

Bore the pants off someone

Bounce ideas off someone

Catch someone in the act

Catch someone off guard

Do battle with someone

Do something against the clock

Do something around the clock

Do something by the book

Do something from scratch

Do something on the spot

Drink someone under the table

Eat someone for breakfast

Fit someone like a glove

Get a handle on something

Get a slap on the wrist

Go hand in hand

Have something down pat

Hear something through the grapevine

Hit the nail on the head

Keep someone in the dark

Keep something at bay

Leave someone in the lurch

Let someone off the hook

Make no bones about something

Nip something in the bud

Open doors for someone

Place something on a pedestal

Play something by ear

Pull rank on someone

Put a damper on something

Put someone on the spot

Put something on the map

Read someone like a book

Run something into the ground

Shout something from the rooftops

Take something by storm

Take the edge off something

Throw someone off balance

Treat someone like dirt

Watch someone like a hawk

Write the book on something
"
( NN case IN ) ( NN nmod NN ) ( NN case IN ) ( NN nmod:poss CD ) ( CD case POS ),1.0,1.0,0.000917431192661,0.00114942528736,20,21,"Rubbing at the back of one's neck
","Off the top of one's head
"
( NN nmod NN ) ( NN case IN ) ( NN nmod:poss NN ) ( NN case POS ),1.0,1.0,0.000917431192661,0.00114942528736,20,21,"Jabbing a finger in someone's face
","Rain on someone's parade
"
( VB compound:prt RP ) ( VB nmod NN ) ( NN case IN ) ( NN amod JJ ),1.0,1.0,0.000917431192661,0.00114942528736,20,21,"Hands up in a defensive stance
","Get off on the wrong foot
"
( VB dobj NN ) ( NN amod VBG ),1.0,1.0,0.000917431192661,0.00114942528736,20,21,"Soft head shaking
","Do a vanishing act
"
( VB compound:prt RP ) ( VB dobj NN ),1.0,16.0,0.000917431192661,0.0183908045977,20,7,"A smile that has a genuine build and lights up the face
","Beat around the bush

Clear away the cobwebs

Fall off the wagon

Get off the ground

Get over the hump

Go down the drain

Go off the record

Hold down the fort

Lay down the law

Let off steam

Move up the ladder

Pick up the tab

Pull out all the stops

Put down roots

Put out feelers

Set up shop
"
( VB dobj NN ) ( NN cc CC ) ( NN conj NN ),1.0,1.0,0.000917431192661,0.00114942528736,20,21,"Limp hands and arms
","Play cat and mouse
"
